dbn,program,program_name,grade9geapplicantsperseat,grade9swdapplicantsperseat,eligibility,prgdesc,admissionspriority1,admissionspriority2,admissionspriority3,admissionspriority4,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description
02M600,program4,The High School of Fashion Industries D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High School of Fashion Industries, The",NA,"225 West 24th Street, Manhattan NY 10011 (40.745677,-73.996354)",hsfi.nyc,1589,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible
02M605,program1,Humanities Preparatory Academy,14,12,NA,"Develop intellectual and civic leadership through self-discovery and challenge, with an emphasis on writing, science and math, public speaking, the arts, technology, and community action.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,Humanities Preparatory Academy,NA,"351 West 18th Street, Manhattan NY 10011 (40.743407,-74.00254)",www.humanitiesprep.org,261,"College Trips,Internships Available,Online Grading System,Orientation,Summer Internships",Partially Accessible
02M615,program1,Chelsea Technical Academy/Cisco,15,20,NA,"Program exposes students to hands-on learning experiences whereby students configure network routers and switches to secure, expand, and optimize data networks in various organizational settings. All students have the opportunity to earn a number of professional certifications.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 35%,2018-19 Final Grades - 35%,2019-20 Marking Period Grades - 30%,NA,NA,Chelsea Career and Technical Education High School,NA,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463,-74.005058)",www.chelseacte.org,449,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Tutoring,Internship Expected,Online Grading System,Orientation,Summer Internships",Not Accessible
02M615,program2,Graphic Design,9,13,NA,"Program exposes students to hands-on learning experiences in the design of professional publications, photo imagery and retouching, layout media, and the design of multimedia web pages. Students use the Adobe Creative Suite of application software, and have opportunities to earn a number of professional certifications.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Chelsea Career and Technical Education High School,NA,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463,-74.005058)",www.chelseacte.org,449,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Tutoring,Internship Expected,Online Grading System,Orientation,Summer Internships",Not Accessible
02M615,program3,Chelsea Career and Technical Education High School D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelsea Career and Technical Education High School,NA,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463,-74.005058)",www.chelseacte.org,449,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Tutoring,Internship Expected,Online Grading System,Orientation,Summer Internships",Not Accessible
02M630,program1,Architectural Design,14,10,NA,"Program includes study of structures, space, color, form, with a focus on hand drafting as well as software applications, architectural design, model making, sketching, and AutoCAD. Seniors complete city planning design project to address current zoning issues. Students visit museums and professional studios, design showrooms and hear from professionals. Student projects are critiqued and reviewed by industry partners in order to provide students with specific, relevant industry feedback.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Art and Design High School,NA,"231-249 East 56th Street, Manhattan NY 10019 (40.759248,-73.967204)",http://www.artanddesignhs.org/,1465,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible
02M630,program2,Commercial Art and Design,11,7,NA,"9th grade: Design Foundations 10th grade: Select CTE major from Cartooning, Fashion/Costume Design or Illustration. Technical assessments are required for CTE certification. Upper grade students can apply for AP courses in Illustration or Cartooning. All portfolios are evaluated by professionals. This program offers opportunities for internships. Museum visits, rotating student exhibitions, and visiting industry professionals are all included in this program.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Art and Design High School,NA,"231-249 East 56th Street, Manhattan NY 10019 (40.759248,-73.967204)",http://www.artanddesignhs.org/,1465,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible
02M630,program3,Film/Video Production,11,10,NA,"Our comprehensive, three-year, studio-based curriculum immerses students in the pre-production, production, and post-production process. Through hands-on filmmaking, students learn film theory, film analysis, scriptwriting, editing in Adobe Premiere Pro, and gain industry-based technical and theoretical knowledge. Students have access to state-of-the-art equipment, participate in contests and film festivals, and meet visiting artists and professionals.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Art and Design High School,NA,"231-249 East 56th Street, Manhattan NY 10019 (40.759248,-73.967204)",http://www.artanddesignhs.org/,1465,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible
02M630,program4,Digital Arts,9,8,NA,"9th grade: Design Foundations. 10th grade: select CTE major from Animation, Digital Photography and Graphic Design. Technical assessment required for CTE certification. Upper grade students can apply for AP courses in Graphic Design. All digital portfolios are evaluated by industry professionals. Opportunities to learn from industry professionals during in class presentations and workshops. Visits to various design studios. Opportunities for job shadowing, mentorship and internships.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Art and Design High School,NA,"231-249 East 56th Street, Manhattan NY 10019 (40.759248,-73.967204)",http://www.artanddesignhs.org/,1465,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible
02M655,program1,Life Sciences,4,4,NA,"Focus on Life Sciences with science electives, internships, mentoring, and research opportunities.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Life Sciences Secondary School,NA,"320 East 96th Street, Manhattan NY 10128 (40.783286,-73.945933)",www.lifesciencesny.org,394,"10th Grade Seats Available,College Trips,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Uniform,Weekend Programs",Not Accessible
03M291,program1,West End Secondary School,13,8,NA,"Students engage in in-depth discipline specific Learning Expeditions that are aligned to the regents curriculum. Field experiences enhance students learning. Students engage in original research and participate in a small group advisory program called ""Crew.""",Priority to continuing 8th graders,Then to New York City residents,NA,NA,2018-19 Final Grades - 50%,2019-20 Marking Period Grades - 50%,NA,NA,NA,West End Secondary School,Priority to applicants eligible for free or reduced price lunch for 60% of seats,"227-243 West 61st Street, Manhattan NY 10023 (40.772608,-73.988338)",https://www.westendsecondary.com/,534,NA,Fully Accessible
03M299,program1,The Maxine Greene High School for Imaginative Inquiry,1,2,NA,"At MGHS we believe that: Our school is a place of possibility with an atmosphere of excellence; Our students are prepared for higher education, entrance into the work force, and community involvement; A small, nurturing school environment allows students to be known as individuals; Partnerships with outside organizations, agencies, colleges and universities bring enrichment to the curricula and instructional programs in the school.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"Maxine Greene High School for Imaginative Inquiry, The",NA,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891,-73.985608)",https://www.mghs.nyc,285,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
03M307,program1,The Urban Assembly School for Media Studies,3,3,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School for Media Studies, The",NA,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891,-73.985608)",UAMHighSchool.org,409,"10th Grade Seats Available,College Trips,Health Center",Partially Accessible
03M307,program2,Urban Assembly For Media ASD Horizon Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School for Media Studies, The",NA,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891,-73.985608)",UAMHighSchool.org,409,"10th Grade Seats Available,College Trips,Health Center",Partially Accessible
03M402,program1,The Urban Assembly School for Green Careers,4,7,NA,"UAGC's CTE program engages students through both hands-on and academic exposure to the chief theories, and practices within both the urban agriculture and building science fields. Within this program, students learn directly from industry experts, engage in work-site visits, compete for industry-based paid internships, and have the option to earn industry certifications. All students select their major after 9th grade. CTE Endorsed diploma is available for Building Science pathway.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School for Green Careers, The",NA,"145 West 84th Street, Manhattan NY 10024 (40.786134,-73.974483)",www.uagreencareers.org,305,"10th Grade Seats Available,Career and Technical Education (CTE),LYFE (Living For The Young Family Through Education)",Fully Accessible
03M403,program1,The Global Learning Collaborative,10,11,NA,NA,Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"Global Learning Collaborative, The",NA,"145 West 84th Street, Manhattan NY 10024 (40.786134,-73.974483)",www.theglcnyc.org,419,"College Trips,Community Service Expected,Extended Day Tutoring,Health Center,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation",Fully Accessible
03M415,program1,Theater Arts,3,3,NA,"The Theater Arts program introduces students to the art of acting. Drama students will be exposed to a variety of techniques and tools in theater arts that will enhance their current level of proficiency. Students will study acting, directing, stage design and play-writing. In addition, students will participate in musical theater performances throughout the school year.",Priority to continuing 8th graders,"Then to Districts 3, 5, and 6 students or residents",Then to New York City residents,NA,NA,NA,NA,NA,NA,Wadleigh Secondary School for the Performing & Visual Arts,NA,"215 West 114th Street, Manhattan NY 10026 (40.80261,-73.954152)",wadleigharts.org,313,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Internship Expected,Internships Available,Online Grading System,Summer Bridge,Summer Internships,Summer Orientation",Fully Accessible
03M415,program2,Dance,5,5,NA,"This program offers students the opportunity to study dance technique, composition, theory, history, and anatomy and physiology. The dance program exposes students to the fields of modern, ballet, tap, Afro-Caribbean, and jazz; as well as Pilates and Zena Rommett Floor Bar. Dance students participate in school performances throughout the school year and partner with several of our renowned partnerships.",Priority to continuing 8th graders,"Then to Districts 3, 5, and 6 students or residents",Then to New York City residents,NA,NA,NA,NA,NA,NA,Wadleigh Secondary School for the Performing & Visual Arts,NA,"215 West 114th Street, Manhattan NY 10026 (40.80261,-73.954152)",wadleigharts.org,313,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Internship Expected,Internships Available,Online Grading System,Summer Bridge,Summer Internships,Summer Orientation",Fully Accessible
03M415,program3,Visual Arts,7,8,NA,"This program offers students an introduction to the fundamental concepts of art. Students will explore elements of art and design through a variety of 2D and 3D media: drawing, painting, collage-making, watercolor, and computer graphics. Students will also have the opportunity to take electives in photography, ceramics, and AP Studio Art. Student art work is displayed at the Museum of Modern Art, Harlem State Office Building, Cooper Hewitt Museum, and Colgate Palmolive Headquarters.",Priority to continuing 8th graders,"Then to Districts 3, 5, and 6 students or residents",Then to New York City residents,NA,NA,NA,NA,NA,NA,Wadleigh Secondary School for the Performing & Visual Arts,NA,"215 West 114th Street, Manhattan NY 10026 (40.80261,-73.954152)",wadleigharts.org,313,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Internship Expected,Internships Available,Online Grading System,Summer Bridge,Summer Internships,Summer Orientation",Fully Accessible
03M415,program4,Instrumental Music,2,4,NA,"This program introduces students to the fundamentals of instrumental playing. The program is also designed to extend the boundaries of the musically talented student. Students learn techniques in Jazz Band, Modern Band, and Concert Band. Strong emphasis is placed in the following areas: Music Theory, Composition, and Music History. Students participate in school performances throughout the school year and partner with several of our renowned partnerships.",Priority to continuing 8th graders,"Then to Districts 3, 5, and 6 students or residents",Then to New York City residents,NA,NA,NA,NA,NA,NA,Wadleigh Secondary School for the Performing & Visual Arts,NA,"215 West 114th Street, Manhattan NY 10026 (40.80261,-73.954152)",wadleigharts.org,313,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Internship Expected,Internships Available,Online Grading System,Summer Bridge,Summer Internships,Summer Orientation",Fully Accessible
03M415,program5,Vocal Music,3,1,NA,"This program exposes students to music theory, history, and voice techniques. Students perform in a variety of genres: classical, jazz, Broadway, gospel, and popular music. The Wadleigh Chamber Choir has performed at: Carnegie Hall, Apollo Theater, Barclay Center, Riverside Church, National Chorale Festival, Manhattan Borough Arts Festival, Songs of Solomon Gospel Choir, NYC All-City Chorus, NYC Summer Arts Institute, Metropolitan Opera, National Chorale, and Lincoln Center Jazz.",Priority to continuing 8th graders,"Then to Districts 3, 5, and 6 students or residents",Then to New York City residents,NA,NA,NA,NA,NA,NA,Wadleigh Secondary School for the Performing & Visual Arts,NA,"215 West 114th Street, Manhattan NY 10026 (40.80261,-73.954152)",wadleigharts.org,313,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Internship Expected,Internships Available,Online Grading System,Summer Bridge,Summer Internships,Summer Orientation",Fully Accessible
03M417,program1,Frank McCourt High School,19,13,NA,Our school is a member of the Mastery Collaborative and committed to using cooperative groups to teach students skills and content. We focus on developing college and career readiness skills.,Open to New York City residents,NA,NA,NA,2018-19 Final Grades - 10%,2019-20 Marking Period Grades - 10%,Interview/Online Form - 80%,NA,NA,Frank McCourt High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"145 West 84th Street, Manhattan NY 10024 (40.786134,-73.974483)",www.fmhsnyc.org,402,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation",Fully Accessible
03M479,program1,The Beacon School,21,7,NA,"We offer an inquiry-based college-preparatory program. Beacon fosters a nurturing, collaborative work environment that promotes students' appreciation for intellectual diversity, preparation for the rigors of college, and active engagement in their larger communities. Our humanities and science courses encourage students to search through multiple perspectives and to scour research and experimental data for the answers to difficult questions.",Open to New York City residents,NA,NA,NA,Artifact 1 - 20%,Artifact 2 - 20%,Essay - 60%,NA,NA,Beacon High School,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"522 West 44th Street, New York NY 10036 (40.760858,-73.996262)",beaconschool.org,1469,10th Grade Seats Available,Fully Accessible
03M485,program1,Fine Arts,NA,NA,NA,"The first two years comprise of training in traditional skills and disciplines, which include drawing, painting in water-based media, graphic design, and painting in oils and acrylics. After taking the core art courses, students take advanced courses in the subjects listed and with other elective offerings such as architecture, art history, ceramics, computer graphics, digital media, fashion illustration, mural painting, photography, print making, and sculpture. Applicants must bring a portfolio of 8-15 pieces of original artwork done in a variety of media. The artwork should be from observation, imagination, and memory, and labeled appropriately. Photographs - not originals - of three-dimensional (3D) works may be included. For the audition, applicants will be given three drawing assignments, including drawing the human figure from observation, drawing a still life from memory, and creating a drawing in color, based on imagination. All drawing materials for auditions will be supplied by the school at the audition.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,NA,"100 Amsterdam Avenue, Manhattan NY 10023 (40.774202,-73.985976)",laguardiahs.org,2946,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
03M485,program2,Dance,NA,NA,NA,"Dancers receive four years of challenging conservatory-style training in ballet and modern dance through block programming. Supplementary courses include: anatomy, dance history, choreography, theater dance (tap and jazz), career management, repertory, and professional skills. Applicants participate in both a ballet class and a modern dance class. Applicants must wear ballet shoes and fitted black dance attire. Applicants are evaluated for their potential to succeed in the specific training offered.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,NA,"100 Amsterdam Avenue, Manhattan NY 10023 (40.774202,-73.985976)",laguardiahs.org,2946,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
03M485,program3,Instrumental Music,NA,NA,NA,"Participants study sight singing, music theory, and music history. This studio's performing groups include four symphony orchestras, two concert bands, two jazz bands, and two musical pit orchestras. Participants also have the opportunity to compose, conduct, and perform original repertoire and utilize a state-of-the-art SoundLab recording studio. Applicants should prepare a solo selection to perform without accompaniment and bring one copy of the music they plan to perform. Applicants should bring their instruments to the audition, except those auditioning on piano, percussion, tuba, double bass, and harp. These instruments will be provided by the school at the audition. Amplifiers will also be provided at the audition for electric guitarists. Applicants will be tested for rhythm and tonal memory and will be asked to complete a sight-reading of a given selection.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,NA,"100 Amsterdam Avenue, Manhattan NY 10023 (40.774202,-73.985976)",laguardiahs.org,2946,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
03M485,program4,Vocal Music,NA,NA,NA,"Participants study sight singing, music theory, and music history. Students receive training in Italian, German, and French vocal literature. This studio's performing groups include Elementary, Mixed, Girls, Women's, and Senior Choruses; Gospel Choir; and Show Choir. In addition there is an annual full-scale opera production. Music electives include chamber music, guitar, music technology, piano, and songwriting. Applicants should prepare a song to sing without accompaniment for the audition. The musical selection can be classical or popular in style. In the audition, applicants will be asked to sing back melodic patterns and tap back rhythmic patterns. LaGuardia High School has a suggested online song list (www.laguardiahs.org). Applicants are not required to select from the song list.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,NA,"100 Amsterdam Avenue, Manhattan NY 10023 (40.774202,-73.985976)",laguardiahs.org,2946,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
03M485,program5,Drama,NA,NA,NA,"The Drama program focuses on acting preparation through block-programmed courses in acting (Meisner and Stanislavsky method), voice and diction, physical techniques, theater history, musical theater, acting on film, career management, and script analysis. Students have numerous opportunities to perform in professional theater spaces throughout their four years, culminating in our Senior Drama Festival. Applicants should be prepared to perform two contrasting one-minute monologues. Applicants will be asked to do an impromptu reading and participate in an interview. Attire should allow free movement since applicants may be asked to demonstrate how well they move physically.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,NA,"100 Amsterdam Avenue, Manhattan NY 10023 (40.774202,-73.985976)",laguardiahs.org,2946,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
03M485,program6,Technical Theater,NA,NA,NA,"In block programs, students receive practical training in scenic carpentry, electrics, lighting technology, costume construction, sound properties, stage management, technical drawing (AutoCAD and Autodesk 3DS Max), welding, career management, and design. Students participate in both the production and performance aspects for the various school events. Students may earn transferable college credit through SUNY Potsdam. Applicants are expected to bring a prepared 3D design model/diorama for presentation, along with a photograph of the diorama. Applicants will be asked to participate in a small-group, hands-on practical in one or more aspects of technical theater.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,NA,"100 Amsterdam Avenue, Manhattan NY 10023 (40.774202,-73.985976)",laguardiahs.org,2946,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
03M492,program1,"Law, Advocacy and Community Justice High School",7,5,NA,"Students take law courses in their 10th, 11th and 12th grade years in addition to their social studies courses; a college preparatory focus is incorporated into the curriculum.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"High School for Law, Advocacy and Community Justice",NA,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891,-73.985608)",www.lacjhs.org,405,"10th Grade Seats Available,College Trips,Health Center,Online Grading System,Orientation",Partially Accessible
03M494,program1,Arts & Technology,9,13,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,High School of Arts and Technology,NA,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891,-73.985608)",www.hsartstech.org,459,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",Partially Accessible
03M494,program2,Digital Media,4,7,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,High School of Arts and Technology,NA,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891,-73.985608)",www.hsartstech.org,459,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",Partially Accessible
03M541,program1,Manhattan/Hunter Science High School,60,16,NA,"Early College program in which students complete college coursework at Hunter College prior to graduation. Students spend 12th grade on the Hunter campus. Strong accelerated academic programs, four years of rigorous math and science credit. Ability to earn additional college credits while at the high school.",Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 40%,2018-19 Final Grades - 15%,2019-20 Marking Period Grades - 15%,Essay - 30%,NA,Manhattan / Hunter Science High School,Priority to applicants eligible for free or reduced price lunch for 69% of seats,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891,-73.985608)",mhshs.org,455,"College Trips,Diversity in Admissions,Early College,Extended Day Tutoring,Online Grading System,Orientation,Uniform",Partially Accessible
03M859,program1,"Voice, Instrument, and Composition",10,8,NA,"We offer students the opportunity to major in Instrumental Music, Voice, or Composition. Students receive approximately 10 hours of music instruction throughout the week. Professional musicians lead large ensembles, chamber groups, and private study. Students work with visiting artists through master classes. Upperclassmen choose from a variety of interest-based electives including Orchestral Conducting, Entrepreneurship, Recording and Production, Jazz History and Theory.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Special Music School,NA,"122 Amsterdam Avenue, Manhattan NY 10023 (40.775256,-73.982976)",www.kaufmanmusiccenter.org/sms/,306,"10th Grade Seats Available,College Trips,Community Service Expected,Health Center,Online Grading System",Partially Accessible
03M860,program1,The Douglass STEM Institute,5,6,NA,"The Douglass STEM Institute prepares scholars for success in colleges and careers focused on science, technology, engineering, and mathematics (STEM) through a performance-task-based curriculum. In addition, to our core Science and Math sequence, scholars have access to AP courses as well as electives focused on robotics and engineering. Scholars will be equipped with a foundation of essential knowledge and skills to critically explore and solve real world problems.",Priority to continuing 8th graders,Then to Districts 3 and 5 students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,Frederick Douglass Academy II Secondary School,NA,"215 West 114th Street, Manhattan NY 10026 (40.80261,-73.954152)",fda2.net,321,"10th Grade Seats Available,College Trips,Community School,Dress Code,Extended Day Program,Online Grading System,Orientation,Uniform,Weekend Programs",Fully Accessible
04M372,program1,Esperanza Preparatory Academy,3,12,Open only to students whose home language is Spanish and/or who attended a Spanish-language Transitional Bilingual Education or Dual Language middle school program.,NA,Priority to continuing 8th graders,Then to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,Esperanza Preparatory Academy,NA,"240 East 109th Street, Manhattan NY 10029 (40.792556,-73.942285)",https://epaschool.org/,525,Community School,Partially Accessible
04M372,program2,Esperanza Preparatory Academy D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Esperanza Preparatory Academy,NA,"240 East 109th Street, Manhattan NY 10029 (40.792556,-73.942285)",https://epaschool.org/,525,Community School,Partially Accessible
04M435,program1,Science & Mathematics Research,15,5,NA,"Our mission is to provide each student with the best possible and greatest number of college admissions choices by senior year. Students are prepared to be college ready by providing them with challenging courses, academic supports ensuring achievement, and detailed enrichment programs to help construct a strong college resume. While math and science are their strengths, we focus on college-readiness, reading, and writing. More than 50% of our students are enrolled in AP courses.",Priority to students attending Isaac Newton Middle School for Math & Science,Then to District 4 students or residents,Then to New York City residents,NA,2018-19 ELA/Math State Test Scores - 45%,2018-19 Final Grades - 28%,2019-20 Marking Period Grades - 27%,NA,NA,Manhattan Center for Science and Mathematics,NA,"260 Pleasant Avenue, Manhattan NY 10029 (40.794184,-73.932868)",mcsm.net,1647,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
04M435,program2,Bilingual Spanish Science & Mathematics,16,8,Open only to New York City residents whose home language is Spanish,"Bilingual students follow the same academic programming and rigor of general education students, while guaranteed language support ensuring equitable college-ready opportunities.",Priority to students attending Isaac Newton Middle School for Math & Science,Then to District 4 students or residents,Then to New York City residents whose home language is Spanish,NA,NA,NA,NA,NA,NA,Manhattan Center for Science and Mathematics,NA,"260 Pleasant Avenue, Manhattan NY 10029 (40.794184,-73.932868)",mcsm.net,1647,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
04M435,program3,Manhattan Center for Science and Mathematics D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manhattan Center for Science and Mathematics,NA,"260 Pleasant Avenue, Manhattan NY 10029 (40.794184,-73.932868)",mcsm.net,1647,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
04M495,program1,Park East High School,37,21,NA,NA,Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 10%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 50%,NA,NA,Park East High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"230 East 105th Street, Manhattan NY 10029 (40.790191,-73.944092)",www.parkeasths.org,380,"10th Grade Seats Available,College Trips,Diversity in Admissions,Online Grading System,Orientation,Uniform",Not Accessible
04M555,program1,Central Park East,48,24,NA,NA,Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 10%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 50%,NA,NA,Central Park East High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"1573 Madison Avenue, Manhattan NY 10029 (40.793649,-73.948488)",centralparkeasths.org,512,Diversity in Admissions,Not Accessible
04M610,program1,Young Women's Leadership School,12,5,Open only to Female-Identified students,"TYWLS offers an academically rigorous college-prep program to all our students including opportunities to take higher level math and science classes and a range of AP courses. All students participate in a robust college advising program, The College Bound Initiative, beginning in the 9th grade.",Priority to continuing 8th graders,Then to District 4 students or residents,Then to New York City residents,NA,2018-19 ELA/Math State Test Scores - 34%,2018-19 Final Grades - 33%,2019-20 Marking Period Grades - 33%,NA,NA,Young Women's Leadership School (TYWLS),NA,"105 East 106th Street, New York NY 10029 (40.792932,-73.947171)",www.tywls.org,474,10th Grade Seats Available,Fully Accessible
04M680,program1,The Heritage School,8,10,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"Heritage School, The",Priority to District 4 residents eligible for free or reduced price lunch for 43% of seats,"1680 Lexington Avenue, Manhattan NY 10029 (40.791966,-73.946879)",https://www.theheritageschoolnyc.com/,311,"10th Grade Seats Available,College Trips,Community School,Diversity in Admissions,Dress Code,Extended Day Program,Online Grading System,Summer Internships,Uniform,Weekend Programs",Partially Accessible
05M148,program1,Eagle Academy for Young Men of Harlem,2,4,Open only to Male-Identified students,"Eagle Academy will prepare scholars for their choice of colleges and careers. Our young men will not only leave our program academically sound, but culturally competent and armed with a strong sense of self.",Priority to continuing 8th graders,Then to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,Eagle Academy for Young Men of Harlem,NA,"6 Edgecombe Avenue, Manhattan NY 10030 (40.817228,-73.947151)",eagleharlem.org,382,"College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Weekend Programs",Not Accessible
